lot,cabinet_code,cabinet_name,line,point_code,device_id,rated_power_w,lamp_type,lat,lng,pole_id
A,Q-A01,Via Roma Nord,L1,PL-000001,LUM-000001,72,LED,45.39988,9.13765,P-000001
A,Q-A01,Via Roma Nord,L2,PL-000002,LUM-000002,48,LED,45.4,9.13775,P-000002
A,Q-A01,Via Roma Nord,L3,PL-000003,LUM-000003,48,LED,45.40012,9.13808,P-000003
A,Q-A01,Via Roma Nord,L1,PL-000004,LUM-000004,72,LED,45.40024,9.13782,P-000004
A,Q-A01,Via Roma Nord,L2,PL-000005,LUM-000005,48,LED,45.40036,9.13769,P-000005
A,Q-A01,Via Roma Nord,L3,PL-000006,LUM-000006,56,LED,45.40048,9.13841,P-000006
A,Q-A01,Via Roma Nord,L1,PL-000007,LUM-000007,72,LED,45.4006,9.13801,P-000007
A,Q-A01,Via Roma Nord,L2,PL-000008,LUM-000008,48,LED,45.40072,9.13841,P-000008
A,Q-A01,Via Roma Nord,L3,PL-000009,LUM-000009,72,LED,45.40084,9.138,P-000009
A,Q-A01,Via Roma Nord,L1,PL-000010,LUM-00000A,48,LED,45.40096,9.13825,P-000010
A,Q-A01,Via Roma Nord,L2,PL-000011,LUM-00000B,48,LED,45.40108,9.13833,P-000011
A,Q-A01,Via Roma Nord,L3,PL-000012,LUM-00000C,48,LED,45.4012,9.13764,P-000012
A,Q-A01,Via Roma Nord,L1,PL-000013,LUM-00000D,72,LED,45.40132,9.13772,P-000013
A,Q-A01,Via Roma Nord,L2,PL-000014,LUM-00000E,56,LED,45.40144,9.13773,P-000014
A,Q-A01,Via Roma Nord,L3,PL-000015,LUM-00000F,72,LED,45.40156,9.13819,P-000015
A,Q-A01,Via Roma Nord,L1,PL-000016,LUM-000010,56,LED,45.40168,9.13792,P-000016
A,Q-A01,Via Roma Nord,L2,PL-000017,LUM-000011,56,LED,45.4018,9.13816,P-000017
A,Q-A01,Via Roma Nord,L3,PL-000018,LUM-000012,48,LED,45.40192,9.1382,P-000018
A,Q-A01,Via Roma Nord,L1,PL-000019,LUM-000013,72,LED,45.40204,9.13838,P-000019
A,Q-A01,Via Roma Nord,L2,PL-000020,LUM-000014,48,LED,45.40216,9.13788,P-000020
A,Q-A01,Via Roma Nord,L3,PL-000021,LUM-000015,48,LED,45.40228,9.13842,P-000021
A,Q-A01,Via Roma Nord,L1,PL-000022,LUM-000016,56,LED,45.4024,9.13797,P-000022
A,Q-A01,Via Roma Nord,L2,PL-000023,LUM-000017,72,LED,45.40252,9.13794,P-000023
A,Q-A01,Via Roma Nord,L3,PL-000024,LUM-000018,48,LED,45.40264,9.13802,P-000024
A,Q-A01,Via Roma Nord,L1,PL-000025,LUM-000019,56,LED,45.40276,9.13842,P-000025
A,Q-A01,Via Roma Nord,L2,PL-000026,LUM-00001A,56,LED,45.40288,9.13778,P-000026
A,Q-A01,Via Roma Nord,L3,PL-000027,LUM-00001B,72,LED,45.403,9.138,P-000027
A,Q-A01,Via Roma Nord,L1,PL-000028,LUM-00001C,56,LED,45.40312,9.13802,P-000028
A,Q-A01,Via Roma Nord,L2,PL-000029,LUM-00001D,48,LED,45.40324,9.1383,P-000029
A,Q-A01,Via Roma Nord,L3,PL-000030,LUM-00001E,72,LED,45.40336,9.13779,P-000030
A,Q-A01,Via Roma Nord,L1,PL-000031,LUM-00001F,56,LED,45.40348,9.13779,P-000031
A,Q-A01,Via Roma Nord,L2,PL-000032,LUM-000020,72,LED,45.4036,9.13828,P-000032
A,Q-A01,Via Roma Nord,L3,PL-000033,LUM-000021,56,LED,45.40372,9.13791,P-000033
A,Q-A01,Via Roma Nord,L1,PL-000034,LUM-000022,56,LED,45.40384,9.13789,P-000034
A,Q-A01,Via Roma Nord,L2,PL-000035,LUM-000023,72,LED,45.40396,9.13773,P-000035
A,Q-A01,Via Roma Nord,L3,PL-000036,LUM-000024,72,LED,45.40408,9.13804,P-000036
A,Q-A01,Via Roma Nord,L1,PL-000037,LUM-000025,72,LED,45.4042,9.13764,P-000037
A,Q-A01,Via Roma Nord,L2,PL-000038,LUM-000026,48,LED,45.40432,9.13836,P-000038
A,Q-A01,Via Roma Nord,L3,PL-000039,LUM-000027,56,LED,45.40444,9.13784,P-000039
A,Q-A01,Via Roma Nord,L1,PL-000040,LUM-000028,56,LED,45.40456,9.13801,P-000040
A,Q-A01,Via Roma Nord,L2,PL-000041,LUM-000029,56,LED,45.40468,9.13774,P-000041
A,Q-A01,Via Roma Nord,L3,PL-000042,LUM-00002A,72,LED,45.4048,9.13812,P-000042
A,Q-A01,Via Roma Nord,L1,PL-000043,LUM-00002B,56,LED,45.40492,9.13783,P-000043
A,Q-A01,Via Roma Nord,L2,PL-000044,LUM-00002C,72,LED,45.40504,9.13769,P-000044
A,Q-A01,Via Roma Nord,L3,PL-000045,LUM-00002D,56,LED,45.40516,9.1383,P-000045
A,Q-A01,Via Roma Nord,L1,PL-000046,LUM-00002E,56,LED,45.40528,9.13799,P-000046
A,Q-A01,Via Roma Nord,L2,PL-000047,LUM-00002F,56,LED,45.4054,9.13783,P-000047
A,Q-A01,Via Roma Nord,L3,PL-000048,LUM-000030,48,LED,45.40552,9.13842,P-000048
A,Q-A01,Via Roma Nord,L1,PL-000049,LUM-000031,48,LED,45.40564,9.13781,P-000049
A,Q-A01,Via Roma Nord,L2,PL-000050,LUM-000032,48,LED,45.40576,9.13798,P-000050
A,Q-A01,Via Roma Nord,L3,PL-000051,LUM-000033,48,LED,45.40588,9.13813,P-000051
A,Q-A01,Via Roma Nord,L1,PL-000052,LUM-000034,48,LED,45.406,9.13775,P-000052
A,Q-A01,Via Roma Nord,L2,PL-000053,LUM-000035,48,LED,45.40612,9.13771,P-000053
A,Q-A01,Via Roma Nord,L3,PL-000054,LUM-000036,48,LED,45.40624,9.13789,P-000054
A,Q-A01,Via Roma Nord,L1,PL-000055,LUM-000037,72,LED,45.40636,9.13809,P-000055
A,Q-A01,Via Roma Nord,L2,PL-000056,LUM-000038,56,LED,45.40648,9.13841,P-000056
A,Q-A01,Via Roma Nord,L3,PL-000057,LUM-000039,56,LED,45.4066,9.13814,P-000057
A,Q-A01,Via Roma Nord,L1,PL-000058,LUM-00003A,72,LED,45.40672,9.13805,P-000058
A,Q-A01,Via Roma Nord,L2,PL-000059,LUM-00003B,72,LED,45.40684,9.13804,P-000059
A,Q-A01,Via Roma Nord,L3,PL-000060,LUM-00003C,56,LED,45.40696,9.13792,P-000060
A,Q-A01,Via Roma Nord,L1,PL-000061,LUM-00003D,48,LED,45.40708,9.13838,P-000061
A,Q-A01,Via Roma Nord,L2,PL-000062,LUM-00003E,48,LED,45.4072,9.13774,P-000062
A,Q-A01,Via Roma Nord,L3,PL-000063,LUM-00003F,56,LED,45.40732,9.13802,P-000063
A,Q-A01,Via Roma Nord,L1,PL-000064,LUM-000040,72,LED,45.40744,9.13806,P-000064
A,Q-A01,Via Roma Nord,L2,PL-000065,LUM-000041,72,LED,45.40756,9.13809,P-000065
A,Q-A01,Via Roma Nord,L3,PL-000066,LUM-000042,72,LED,45.40768,9.13801,P-000066
